지역,지역명,위도,경도
[국가망]서울특별시,서울,37.551251,126.988322
[국가망]서울특별시,서울서초,37.47074,127.033245
[국가망]서울특별시,서울은평,37.616431,126.929119
[국가망]서울특별시,서울용산,37.528582,126.981987
[국가망]서울특별시,서울노원,37.649734,127.077134
[국가망]서울특별시,서울중랑,37.595194,127.095157
[국가망]서울특별시,서울송파,37.502168,127.118003
[국가망]서울특별시,서울강남,37.493712,127.065334
[국가망]서울특별시,서울관악,37.46457,126.947435
[국가망]서울특별시,서울구로,37.491581,126.858351
[국가망]서울특별시,서울강서,37.55844,126.824859
[국가망]인천광역시,백령면,37.97472632,124.7179062
[국가망]인천광역시,인천중구,37.47162051,126.5978373
[국가망]인천광역시,백령도,37.96024591,124.6646911
[국가망]인천광역시,인천계양,37.55603814,126.7350314
[국가망]인천광역시,인천남동,37.43039527,126.726485
[국가망]인천광역시,강화도,37.71625836,126.4512108
[국가망]인천광역시,영종도,37.46018538,126.3934286
[국가망]인천광역시,인천,37.45744375,126.7052471
[국가망]부산광역시,부산,35.16106167,129.0453621
[국가망]부산광역시,장안,35.31345425,129.2439739
[국가망]부산광역시,부산강서,35.11307064,128.8690601
[국가망]부산광역시,부산중구,35.10468932,129.0333276
[국가망]부산광역시,부산북구,35.22916325,129.0237289
[국가망]부산광역시,부산진구,35.16535232,129.0435477
[국가망]부산광역시,고리방재센터,35.23919331,129.1663086
[국가망]부산광역시,부산해운대,35.18102261,129.1635706
[국가망]대전광역시,대전,36.34072996,127.3901713
[국가망]대전광역시,대전관평,36.42528074,127.3920777
[국가망]대전광역시,대전동구,36.3232874,127.4720036
[국가망]대전광역시,대전방재센터,36.37476322,127.3694612
[국가망]대전광역시,대전대동,36.32942173,127.4436605
[국가망]대전광역시,대전대덕,36.41022881,127.4373492
[국가망]대구광역시,대구,35.83019861,128.5622348
[국가망]대구광역시,대구달성,35.75894551,128.5020739
[국가망]대구광역시,대구동구,35.93372854,128.6829217
[국가망]대구광역시,대구남구,35.83506385,128.5849827
[국가망]광주광역시,광주,35.15591085,126.8348716
[국가망]광주광역시,광주남구,35.09363821,126.8568275
[국가망]광주광역시,광주광산,35.16510793,126.7504486
[국가망]울산광역시,울산중구,35.57103044,129.3084279
[국가망]울산광역시,울산남구,35.51150653,129.3340277
[국가망]울산광역시,울산동구,35.52078714,129.4330115
[국가망]울산광역시,울산,35.5447119,129.2581142
[국가망]울산광역시,울산북구,35.61056398,129.3897401
[국가망]울산광역시,웅촌,35.46587879,129.2081878
[국가망]울산광역시,삼동,35.52161169,129.1555741
[국가망]울산광역시,울산동부,35.53420982,129.4295091
[국가망]울산광역시,울산무룡,35.57846403,129.3565766
[국가망]울산광역시,울산두동,35.65440176,129.202757
[국가망]경기도,수원,37.28016071,127.0085117
[국가망]경기도,문산,37.85642185,126.7820909
[국가망]경기도,포천,37.89548761,127.199028
[국가망]경기도,양주,37.80908728,127.0003001
[국가망]경기도,파주,37.86123379,126.7915624
[국가망]경기도,시흥,37.377037,126.7685708
[국가망]경기도,화성,37.13028813,126.9064298
[국가망]경기도,안양,37.40422815,126.9252049
[국가망]경기도,과천,37.43395317,127.002689
[국가망]경기도,구리,37.59743114,127.1319845
[국가망]경기도,의정부,37.73607455,127.0656461
[국가망]경기도,양평,37.51653317,127.5771067
[국가망]경기도,이천,37.28022065,127.4484724
[국가망]경기도,부천,37.50303232,126.7865445
[국가망]경기도,안성,37.03023718,127.2944098
[국가망]강원도,강릉,37.72265045,128.8566366
[국가망]강원도,춘천,37.88781753,127.7397374
[국가망]강원도,철원,38.2654797,127.4315171
[국가망]강원도,원주,37.30998918,127.9297811
[국가망]강원도,속초,38.1831302,128.5444582
[국가망]강원도,동해,37.52045798,129.0903887
[국가망]강원도,고성,38.37540547,128.4100518
[국가망]강원도,양구,38.20897696,127.9973606
[국가망]강원도,화천,38.13830902,127.6880458
[국가망]강원도,인제,38.07454312,128.2597532
[국가망]강원도,태백,37.17221317,128.9779893
[국가망]강원도,대관령,37.67213825,128.7096843
[국가망]강원도,정선,37.37584978,128.7317889
[국가망]강원도,임원,37.23927195,129.3239728
[국가망]강원도,노곡,37.21543762,129.3282844
[국가망]강원도,원덕,37.17758986,129.2788576
[국가망]강원도,가곡,37.15131624,129.2015045
[국가망]강원도,삼척,37.27777235,129.1436449
[국가망]강원도,삼척도계,37.23551772,129.0471429
[국가망]충청남도,서산,36.78402332,126.4499492
[국가망]충청남도,당진,36.90442971,126.6431942
[국가망]충청남도,서천,36.07837813,126.6938983
[국가망]충청남도,안면도,36.57777682,126.3301585
[국가망]충청북도,추풍령,36.21402624,127.9989335
[국가망]충청북도,청주,36.62702253,127.495792
[국가망]충청북도,충주,37.01391894,127.8918339
[국가망]충청북도,소백산,36.94615216,128.4551434
[국가망]충청북도,속리산,36.56470785,127.8598803
[국가망]경상남도,진주평거,35.17340009,128.0598473
[국가망]경상남도,거창,35.73223735,127.9037695
[국가망]경상남도,창원진해,35.11372641,128.7256469
[국가망]경상남도,김해,35.27064816,128.8397015
[국가망]경상남도,양산,35.39477438,129.0415801
[국가망]경상남도,밀양,35.49734419,128.7805205
[국가망]경상남도,거제,34.87464795,128.6281263
[국가망]경상남도,남해,34.8293148,127.8809135
[국가망]경상남도,욕지도,34.6347221,128.2501653
[국가망]경상남도,지리산,35.31588597,127.6611639
[국가망]경상남도,진주,35.20212474,128.132831
[국가망]경상남도,양산북부동,35.34749686,129.0394518
[국가망]경상남도,하북,35.48929159,129.088455
[국가망]경상북도,안동,36.56810878,128.7253169
[국가망]경상북도,북면,37.10480006,129.3682209
[국가망]경상북도,양남,35.70373904,129.4314756
[국가망]경상북도,울릉도,37.50110011,130.8485416
[국가망]경상북도,영덕,36.46694139,129.3741182
[국가망]경상북도,경주,35.82170328,129.2519555
[국가망]경상북도,포항,36.09199969,129.3544918
[국가망]경상북도,청송,36.35779196,129.0551837
[국가망]경상북도,봉화,36.93681725,128.9099308
[국가망]경상북도,영천,36.01034193,128.937687
[국가망]경상북도,독도,37.24122021,131.8653901
[국가망]경상북도,월성방재센터,35.71352688,129.4757136
[국가망]경상북도,울진방재센터,36.96150096,129.4020427
[국가망]경상북도,영양,36.69757347,129.1375434
[국가망]경상북도,매화,36.9117935,129.381036
[국가망]경상북도,두천,37.03598187,129.2949042
[국가망]경상북도,울진,36.88461298,129.3573818
[국가망]경상북도,금강송,36.98963255,129.2060489
[국가망]경상북도,광회,36.93561065,129.111489
[국가망]경상북도,감포,35.81240359,129.4937751
[국가망]경상북도,양북,35.80201855,129.4121326
[국가망]경상북도,내남,35.76925853,129.2021309
[국가망]경상북도,포항대송,36.00818843,129.3564481
[국가망]경상북도,금강송왕피,36.8904626,129.2700389
[국가망]경상북도,봉화석포,37.04463166,129.0618847
